#EXTM3U x-tvg-url="https://diyp0731.112114.xyz/pp.xml.gz"
#江西移动内网源，仅限江西移动网络使用。
#EXT-X-SUB-URL https://live.404003.xyz/m3u/jxyd.m3u


4K,#genre#
汽摩,http://39.135.140.104:6610/PLTV/88888888/224/3221225506/1/index.m3u8?fmt=ts2hls
环球旅游,http://39.135.140.104:6610/PLTV/88888888/224/3221226313/1/index.m3u8?fmt=ts2hls
书画频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226370/1/index.m3u8?fmt=ts2hls
环球奇观,http://39.135.140.104:6610/PLTV/88888888/224/3221226378/1/index.m3u8?fmt=ts2hls

少儿,#genre#

卡酷少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221226362/1/index.m3u8?fmt=ts2hls
卡酷少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221225677/1/index.m3u8
卡酷少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221226360/1/index.m3u8?fmt=ts2hls
黑莓动画,http://39.135.140.104:6610/PLTV/88888888/224/3221225672/1/index.m3u8
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221226246/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225554/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225721/1/index.m3u8
嘉佳卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221226193/1/index.m3u8
哈哈炫动,http://39.135.140.104:6610/PLTV/88888888/224/3221225560/1/index.m3u8?fmt=ts2hls
哈哈炫动,http://39.135.140.104:6610/PLTV/88888888/224/3221225720/1/index.m3u8
优漫卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225665/1/index.m3u8
优优宝贝,http://39.135.140.104:6610/PLTV/88888888/224/3221226312/1/index.m3u8?fmt=ts2hls
新动漫,http://39.135.140.104:6610/PLTV/88888888/224/3221226322/1/index.m3u8?fmt=ts2hls


港澳台频道,#genre#

重温经典,https://cdn13.178.indevs.in/163189/21d79187db6e9793
鳳凰衛視中文台,https://cdn6.163189.xyz/163189/fhzw
鳳凰衛視資訊台,https://cdn6.163189.xyz/163189/fhzx
鳳凰衛視香港台,https://cdn6.163189.xyz/163189/fhhk
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台,https://hls.iill.top/api/TVB-Jade/index.m3u8
翡翠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,https://hls.iill.top/api/TVB-Plus/index.m3u8
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
TVB J1,https://6.cdn.loc.cc/163189.php?id=tvb1
TVB剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
無線新聞台,https://cdn6.163189.xyz/163189/wxxw
無線新聞台,https://hls.iill.top/api/TVB-News/index.m3u8
Now新聞台,https://cdn.163189.xyz/163189/now
